District,Crop,Season,Area (hectares),Yield (quintals),Production (metric tons),Soil Type,pH Level,Organic Matter (%),Nitrogen Content (kg/ha),Phosphorus Content (kg/ha),Potassium Content (kg/ha),Irrigation Method,Water Consumption (liters/hectare),Water Availability (liters/hectare),temp,rain,humidity,wind_speed
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.723436250401349,1.8287253995711172,30.85231885498285,15.186337173576938,38.966943601519766,Drip Irrigation,7805.805261684476,7262.241140460223,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.723436250401349,1.8287253995711172,30.85231885498285,15.186337173576938,38.966943601519766,Drip Irrigation,12394.914901537331,12063.694190483871,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.723436250401349,1.8287253995711172,30.85231885498285,15.186337173576938,38.966943601519766,Tube Well,14648.344762040924,13778.196495082222,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.723436250401349,1.8287253995711172,30.85231885498285,15.186337173576938,38.966943601519766,Sprinkler Irrigation,13705.24024420113,14059.057276393854,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.723436250401349,1.8287253995711172,30.85231885498285,15.186337173576938,38.966943601519766,Drip Irrigation,14521.551381176943,13847.432748927453,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.723436250401349,1.8287253995711172,30.85231885498285,15.186337173576938,38.966943601519766,Drip Irrigation,6443.783744056601,7220.802337756284,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.723436250401349,1.8287253995711172,30.85231885498285,15.186337173576938,38.966943601519766,Sprinkler Irrigation,8001.647500056286,7660.096767068254,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.723436250401349,1.8287253995711172,30.85231885498285,15.186337173576938,38.966943601519766,Tube Well,8662.43047295623,7879.707185147951,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Black lava soil,7.660796605669619,2.8774665358236207,30.09200815391719,21.126320586237743,43.4636137755843,Drip Irrigation,7805.805261684476,7262.241140460223,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Black lava soil,7.660796605669619,2.8774665358236207,30.09200815391719,21.126320586237743,43.4636137755843,Drip Irrigation,12394.914901537331,12063.694190483871,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Black lava soil,7.660796605669619,2.8774665358236207,30.09200815391719,21.126320586237743,43.4636137755843,Tube Well,14648.344762040924,13778.196495082222,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Black lava soil,7.660796605669619,2.8774665358236207,30.09200815391719,21.126320586237743,43.4636137755843,Sprinkler Irrigation,13705.24024420113,14059.057276393854,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Black lava soil,7.660796605669619,2.8774665358236207,30.09200815391719,21.126320586237743,43.4636137755843,Drip Irrigation,14521.551381176943,13847.432748927453,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Black lava soil,7.660796605669619,2.8774665358236207,30.09200815391719,21.126320586237743,43.4636137755843,Drip Irrigation,6443.783744056601,7220.802337756284,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Black lava soil,7.660796605669619,2.8774665358236207,30.09200815391719,21.126320586237743,43.4636137755843,Sprinkler Irrigation,8001.647500056286,7660.096767068254,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Black lava soil,7.660796605669619,2.8774665358236207,30.09200815391719,21.126320586237743,43.4636137755843,Tube Well,8662.43047295623,7879.707185147951,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Saline,7.735022093684101,1.646187052588987,26.43913067911978,19.446673157213358,35.51678886342396,Drip Irrigation,7805.805261684476,7262.241140460223,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Saline,7.735022093684101,1.646187052588987,26.43913067911978,19.446673157213358,35.51678886342396,Drip Irrigation,12394.914901537331,12063.694190483871,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Saline,7.735022093684101,1.646187052588987,26.43913067911978,19.446673157213358,35.51678886342396,Tube Well,14648.344762040924,13778.196495082222,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Saline,7.735022093684101,1.646187052588987,26.43913067911978,19.446673157213358,35.51678886342396,Sprinkler Irrigation,13705.24024420113,14059.057276393854,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Saline,7.735022093684101,1.646187052588987,26.43913067911978,19.446673157213358,35.51678886342396,Drip Irrigation,14521.551381176943,13847.432748927453,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Saline,7.735022093684101,1.646187052588987,26.43913067911978,19.446673157213358,35.51678886342396,Drip Irrigation,6443.783744056601,7220.802337756284,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Saline,7.735022093684101,1.646187052588987,26.43913067911978,19.446673157213358,35.51678886342396,Sprinkler Irrigation,8001.647500056286,7660.096767068254,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Saline,7.735022093684101,1.646187052588987,26.43913067911978,19.446673157213358,35.51678886342396,Tube Well,8662.43047295623,7879.707185147951,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.19674830589213,2.2279520975853515,27.70454844890504,16.526998154184277,34.22818665883508,Drip Irrigation,7805.805261684476,7262.241140460223,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.19674830589213,2.2279520975853515,27.70454844890504,16.526998154184277,34.22818665883508,Drip Irrigation,12394.914901537331,12063.694190483871,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.19674830589213,2.2279520975853515,27.70454844890504,16.526998154184277,34.22818665883508,Tube Well,14648.344762040924,13778.196495082222,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.19674830589213,2.2279520975853515,27.70454844890504,16.526998154184277,34.22818665883508,Sprinkler Irrigation,13705.24024420113,14059.057276393854,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.19674830589213,2.2279520975853515,27.70454844890504,16.526998154184277,34.22818665883508,Drip Irrigation,14521.551381176943,13847.432748927453,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.19674830589213,2.2279520975853515,27.70454844890504,16.526998154184277,34.22818665883508,Drip Irrigation,6443.783744056601,7220.802337756284,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.19674830589213,2.2279520975853515,27.70454844890504,16.526998154184277,34.22818665883508,Sprinkler Irrigation,8001.647500056286,7660.096767068254,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Clay,7.19674830589213,2.2279520975853515,27.70454844890504,16.526998154184277,34.22818665883508,Tube Well,8662.43047295623,7879.707185147951,29.14,1101.9,81.42,14.5
Alwar,Mustard,Kharif,19396.94630676466,44.70252606335524,8670.924978276493,Black lava soil,8.470608718231874,1.5608384614101305,28.10996050490892,21.157229612627862,43.23244768862885,Drip Irrigation,7805.805261684476,7262.241140460223,29.14,1101.9,81.42,14.5
